,Country,Capital,Address
0, Afganistan,Kabul ,Shah-re-Naw Ministry of Interior Street Kabul
1, Afrika Selatan,Pretoria ,949 Francis Baard Street Hatfield. Pretoria
2, Aljazair,Algiers,Avenue Souidani Boudjemaa 61 Algiers
3, Amerika Serikat,Washington,2020 Massachusetts Avenue NW. Washington DC
4, Arab Saudi,Riyadh,Diplomatic Quarter. Riyadh
5, Argentina,Buenos Aires ,Mariscal Ramon Castilla 2901. Buenos Aires
6, Australia,Canberra ,8 Darwin Avenue Yarralumla. Canberra
7, Austria,Wina,Gustav Tschermakgasse 5-7 Vienna
8, Azerbaijan,Baku,Azer Aliyev 3 Nasimi Baku
9, Bahrain,Manama ,Villa 2113 Road 2432 Manama
10, Bangladesh,Dhaka ,Road No 53 Plot No 14 Gulshan Dhaka
11, Belanda,Den Haag ,Tobias Asserlaan 8 Den Haag
12, Belgia,Brussels ,Boulevardde la Woluwe 38 Brussels
13, Bosnia dan Herzegovina,Sarajevo,Splitska 9. Sarajevo
14, Brasil,Brasilia ,SES Avenida Das Nacoes Quadra 805 Brasilia-DF
15, Britania Raya,London ,30 Great Peter Street. London
16, Brunei,Bandar Seri Begawan ,Jalan Kebangsaan Kampung Kawasan Diplomatik Mukim Kianggeh Bandar Seri Begawan
17, Bulgaria,Sofia,Simeonovsko Shosse Sofia
18, Ceko,Praha ,Nad Budankami II  7. Praha
19, Chili,Santiago,Avenida Las Urbinas 160 Providencia. Santiago
20, Denmark,Kopenhagen ,Alle 1 Hellerup Copenhagen
21, Ekuador,Quito,CALLE QUITEO LIBRE E15 QUITO
22, Etiopia,Addis Ababa ,Egypt Street Mekanissa Road Woreda 05  Addis Ababa
23, Fiji,Suva,Marama Building  91 Gordon Street Fiji
24, Filipina,Manila,Salcedo Street 185 Manila
25, Finlandia,Helsinki ,Kuusisaarentie 3. Helsinki
26, Hongaria,Budapest ,Varosligeti fasor 26. Budapest
27, India,New Delhi,50-A Kautilya Marg Chanakyapuri. New Delhi
28, Irak,Baghdad,Salhiya Hay Al-l'lam 220  Zukak 5 Baghdad
29, Iran,Tehran,Ghaemmagham 180 Tehran
30, Italia,Rome,Via Campania 55. Roma
31, Jepang,Tokyo ,4 Chome--1 Yotsuya Shinjuku City.Tokyo
32, Jerman,Berlin ,Lehrter 16 Berlin
33, Kamboja,Phnom Penh,Street 268 Preah Suramarit Boulevard Phnom Penh
34, Kanada,Ottawa,55 Parkdale Avenue. Ottawa
35, Kazakhstan,Astana,Saraishyk Street Diplomatic town. Nur-Sultan
36, Kenya,Nairobi,Menengai Rd Upper Hill. Nairobi
37, Kolombia,Bogota ,Calle 70 Bogota
38, Korea Selatan,Seoul,380 Yeouidaebang-ro Yeongdeungpo-gu. Seoul
39, Korea Utara,Pyongyang ,Munsudong Taedonggang Distric Pyongyang
40, Kroasia,Zagreb,Ulica Medveak 56 Zagreb
41, Kuba,Havana ,5ta Avenida  1607 Miramar. La Habana
42, Kuwait,Kuwait City ,Daiya Block 1 Rashed Ahmed Al-Roumi Street
43, Laos,Vientiane,Kaysone Phomvihane Avenue. Vientiane
44, Lebanon,Beirut ,Presidential Palace Avenue Rue 68 Sector 3 Beirut
45, Libya,Tripoli,Hay Al Karamah Qobri Taariq Al Sari Tripoli
46, Malaysia,Kuala Lumpur ,Jalan Tun Razak 233 Kualalumpur 
47, Maroko,Rabat,Rue Beni Boufrah 63 Rabat 
48, Meksiko,Mexico City,Julio Verne No 27 Mexico City
49, Mesir,Cairo,Aisha El Taymouria Street 13 Garden City Cairo
50, Mozambik,Maputo,Streets No 141 Sommerschield  Maputo
51, Myanmar,Yangon,Pyiudaungsu Yeiktha Road 100 Yangon
52, Namibia,Windhoek ,103 Nelson Mandela Avenue. Windhoek
53, Nigeria,Abuja ,Katsina Ala Crescent 10 Abuja
54, Norwegia,Oslo ,Fritzners gate 12. Oslo
55, Oman,Muscat,Al-Shatty Qurum Building Way 3015 Muscat
56, Pakistan,Islamabad ,Diplomatic Enclave I Street 5 Islamabad
57, Panama,Panama,Casa no 15 y Ricardo Arango Urbanizacion Obarrio Calle 55 Este. Panama City
58, Papua Nugini,Port Moresby,Sir John Giuse Drive Lot 12 Section 410 Port Moresby
59, Peru,Lima ,Avenida Las Flores 334-336 San Isidro. Lima
60, Polandia,Warsawa ,ulica Estoska 3 Warsawa
61, Portugal,Lisabon ,Avenida Dom Vasco da Gama no 40 Lisbon
62, Prancis,Paris ,47-49 rue Cortambert. Paris
63, Qatar,Doha ,Al Salmiya Street  Zone 66  Street 943 Onaiza
64, Rumania,Bucharest,19 Aleea Alexandru Sector 1. Bucharest
65, Rusia,Moscow,Novokuznetskaya Ulitsa No 12 Moscow
66, Selandia Baru,Wellington,70 Glen Road  Kelburn .Wellington
67, Senegal,Dakar,Avenue Cheikh Anta Diop BP. DAKAR
68, Serbia,Beograd,Bulevar Kneza Aleksandra Karadjordjevica No 18. Beograd
69, Singapura,Singapura,7 Chatsworth Road. Singapore
70, Slowakia,Bratislava,Brnianska 31. Bratislava
71, Spanyol,Madrid ,Calle de Agastia No  65. Madrid
72, Sri Lanka,Damascus,Sarana Road 400/50 Colombo
73, Sudan,Khartoum,Street 60 Block No 12 Al Riyadh Area Khartoum
74, Suriah,Damaskus ,al-Madina al-Munawara Street Block 270A Building No 26 Damascus
75, Suriname,Paramaribo,Van Brussellaan 3  Paramaribo
76, Swedia,Stockholm ,Kungsbroplan 1. Stockholm
77, Swiss,Bern ,Elfenauweg 51. Bern
78, Takhta Suci,Vatican,Via Marocco 1000144. Roma
79, Tanzania,Dar es Salaam ,299 Ali Hassan Mwinyi Road. Dar es Salaam
80, Thailand,Bangkok ,Petchburi Road 600 Bangkok
81, Timor Leste,Dili ,Rua Karketu Mota-Ain No 02 Dili
82, Tiongkok,Beijing ,Dong Zhi Men Wai Da Jie No 4 Chaoyang District. Beijing
83, Tunisia,Tunis,Rue 15 du Lac Mlaren Les berges Tunis
84, Turki,Ankara ,Prof Dr Aziz Sancar 10 Ankara
85, Uni Emirat Arab,Abu Dhabi ,Sultan Bin Zayed Street Str 32  Abu Dhabi
86, Ukraina,Kyiv ,17 Universytetska Street. Kyiv
87, Uzbekistan,Tashkent,YahyoGulomov Street 73 Tashkent
88, Venezuela,Caracas ,Avenida El Paseo Caracas
89, Vietnam,Hanoi ,50 Ngo Quyen Street. Hanoi
90, Yordania,Amman ,Ali Seedo Al-Kurdi Street 13 Amman
91, Yunani,Athena ,Marathonodromon Street 15452 Athens
92, Zimbabwe,Harare ,Duthie Avenue  3 Harare
